base kana	conjugated kana	English	base	conjugated
かく＋negative	かかない	(I) don’t write	書く＋negative	書かない
およぐ＋negative	およがない	(I) don’t swim	泳ぐ＋negative	泳がない
はなす＋negative	はなさない	(I) don’t speak	話す＋negative	話さない
まつ＋negative	またない	(I) don’t wait	待つ＋negative	待たない
しぬ＋negative	しなない	(I) don’t die	死ぬ＋negative	死なない
とぶ＋negative	とばない	(I) don’t fly	飛ぶ＋negative	飛ばない
よむ＋negative	よまない	(I) don’t read	読む＋negative	読まない
とる＋negative	とらない	(I) don’t take	取る＋negative	取らない
かう＋negative	かわない	(I) don’t buy	買う＋negative	買わない
みる＋negative	みない	(I) don’t see	見る＋negative	見ない
たべる＋negative	たべない	(I) don’t eat	食べる＋negative	食べない
くる＋negative	こない	(I) don’t come	来る＋negative	来ない
する＋negative	しない	(I) don’t do	する＋negative	しない


かく＋polite	かきます	(I) write (polite)	書く＋polite	書きます
およぐ＋polite	およぎます	(I) swim (polite)	泳ぐ＋polite	泳ぎます
はなす＋polite	はなします	(I) speak (polite)	話す＋polite	話します
まつ＋polite	まちます	(I) wait (polite)	待つ＋polite	待ちます
しぬ＋polite	しにます	(I) die (polite)	死ぬ＋polite	死にます
とぶ＋polite	とびます	(I) fly (polite)	飛ぶ＋polite	飛びます
よむ＋polite	よみます	(I) read (polite)	読む＋polite	読みます
とる＋polite	とります	(I) take (polite)	取る＋polite	取ります
かう＋polite	かいます	(I) buy (polite)	買う＋polite	買います
みる＋polite	みます	(I) see (polite)	見る＋polite	見ます
たべる＋polite	たべます	(I) eat (polite)	食べる＋polite	食べます
くる＋polite	きます	(I) come (polite)	来る＋polite	来ます
する＋polite	します	(I) do (polite)	する＋polite	します


かく＋past	かいた	(I) write’ed	書く＋past	書いた
およぐ＋past	およいだ	(I) swim’ed	泳ぐ＋past	泳いだ
はなす＋past	はなした	(I) speak’ed	話す＋past	話した
まつ＋past	まった	(I) wait’ed	待つ＋past	待った
しぬ＋past	しんだ	(I) die’ed	死ぬ＋past	死んだ
とぶ＋past	とんだ	(I) fly’ed	飛ぶ＋past	飛んだ
よむ＋past	よんだ	(I) read’ed	読む＋past	読んだ
とる＋past	とった	(I) take’ed	取る＋past	取った
かう＋past	かった	(I) buy’ed	買う＋past	買った
みる＋past	みた	(I) see’ed	見る＋past	見た
たべる＋past	たべた	(I) eat’ed	食べる＋past	食べた
くる＋past	きた	(I) come’ed	来る＋past	来た
する＋past	した	(I) do’ed	する＋past	した


かく＋conditional	かけば	as long as (I) write, …	書く＋conditional	書けば
およぐ＋conditional	およげば	as long as (I) swim, …	泳ぐ＋conditional	泳げば
はなす＋conditional	はなせば	as long as (I) speak, …	話す＋conditional	話せば
まつ＋conditional	まてば	as long as (I) wait, …	待つ＋conditional	待てば
しぬ＋conditional	しねば	as long as (I) die, …	死ぬ＋conditional	死ねば
とぶ＋conditional	とべば	as long as (I) fly, …	飛ぶ＋conditional	飛べば
よむ＋conditional	よめば	as long as (I) read, …	読む＋conditional	読めば
とる＋conditional	とれば	as long as (I) take, …	取る＋conditional	取れば
かう＋conditional	かえば	as long as (I) buy, …	買う＋conditional	買えば
みる＋conditional	みれば	as long as (I) see, …	見る＋conditional	見れば
たべる＋conditional	たべれば	as long as (I) eat, …	食べる＋conditional	食べれば
くる＋conditional	くれば	as long as (I) come, …	来る＋conditional	来れば
する＋conditional	すれば	as long as (I) do, …	する＋conditional	すれば


かく＋imperative	かけ	write!	書く＋imperative	書け
およぐ＋imperative	およげ	swim!	泳ぐ＋imperative	泳げ
はなす＋imperative	はなせ	speak!	話す＋imperative	話せ
まつ＋imperative	まて	wait!	待つ＋imperative	待て
しぬ＋imperative	しね	die!	死ぬ＋imperative	死ね
とぶ＋imperative	とべ	fly!	飛ぶ＋imperative	飛べ
よむ＋imperative	よめ	read!	読む＋imperative	読め
とる＋imperative	とれ	take!	取る＋imperative	取れ
かう＋imperative	かえ	buy!	買う＋imperative	買え
みる＋imperative	みろ	see!	見る＋imperative	見ろ
たべる＋imperative	たべろ	eat!	食べる＋imperative	食べろ
くる＋imperative	こい	come!	来る＋imperative	来い
する＋imperative	しろ	do!	する＋imperative	しろ


かく＋volitional	かこう	(I) will write/let’s write	書く＋volitional	書こう
およぐ＋volitional	およごう	(I) will swim/let’s swim	泳ぐ＋volitional	泳ごう
はなす＋volitional	はなそう	(I) will speak/let’s speak	話す＋volitional	話そう
まつ＋volitional	まとう	(I) will wait/let’s wait	待つ＋volitional	待とう
しぬ＋volitional	しのう	(I) will die/let’s die	死ぬ＋volitional	死のう
とぶ＋volitional	とぼう	(I) will fly/let’s fly	飛ぶ＋volitional	飛ぼう
よむ＋volitional	よもう	(I) will read/let’s read	読む＋volitional	読もう
とる＋volitional	とろう	(I) will take/let’s take	取る＋volitional	取ろう
かう＋volitional	かおう	(I) will buy/let’s buy	買う＋volitional	買おう
みる＋volitional	みよう	(I) will see/let’s see	見る＋volitional	見よう
たべる＋volitional	たべよう	(I) will eat/let’s eat	食べる＋volitional	食べよう
くる＋volitional	こよう	(I) will come/let’s come	来る＋volitional	来よう
する＋volitional	しよう	(I) will do/let’s do	する＋volitional	しよう


かく＋te	かいて	(I) write and …	書く＋te	書いて
およぐ＋te	およいで	(I) swim and …	泳ぐ＋te	泳いで
はなす＋te	はなして	(I) speak and …	話す＋te	話して
まつ＋te	まって	(I) wait and …	待つ＋te	待って
しぬ＋te	しんて	(I) die and …	死ぬ＋te	死んて
とぶ＋te	とんて	(I) fly and …	飛ぶ＋te	飛んて
よむ＋te	よんて	(I) read and …	読む＋te	読んて
とる＋te	とって	(I) take and …	取る＋te	取って
かう＋te	かって	(I) buy and …	買う＋te	買って
みる＋te	みて	(I) see and …	見る＋te	見て
たべる＋te	たべて	(I) eat and …	食べる＋te	食べて
くる＋te	きて	(I) come and …	来る＋te	来て
する＋te	して	(I) do and …	する＋te	して


かく＋tara	かいたら	if/when (I) write, then …	書く＋tara	書いたら
およぐ＋tara	およいだら	if/when (I) swim, then …	泳ぐ＋tara	泳いだら
はなす＋tara	はなしたら	if/when (I) speak, then …	話す＋tara	話したら
まつ＋tara	まったら	if/when (I) wait, then …	待つ＋tara	待ったら
しぬ＋tara	しんだら	if/when (I) die, then …	死ぬ＋tara	死んだら
とぶ＋tara	とんだら	if/when (I) fly, then …	飛ぶ＋tara	飛んだら
よむ＋tara	よんだら	if/when (I) read, then …	読む＋tara	読んだら
とる＋tara	とったら	if/when (I) take, then …	取る＋tara	取ったら
かう＋tara	かったら	if/when (I) buy, then …	買う＋tara	買ったら
みる＋tara	みたら	if/when (I) see, then …	見る＋tara	見たら
たべる＋tara	たべたら	if/when (I) eat, then …	食べる＋tara	食べたら
くる＋tara	きたら	if/when (I) come, then …	来る＋tara	来たら
する＋tara	したら	if/when (I) do, then …	する＋tara	したら


かく＋tari	かいたり	(I) sometimes write and sometimes …	書く＋tari	書いたり
およぐ＋tari	およいだり	(I) sometimes swim and sometimes …	泳ぐ＋tari	泳いだり
はなす＋tari	はなしたり	(I) sometimes speak and sometimes …	話す＋tari	話したり
まつ＋tari	まったり	(I) sometimes wait and sometimes …	待つ＋tari	待ったり
しぬ＋tari	しんだり	(I) sometimes die and sometimes …	死ぬ＋tari	死んだり
とぶ＋tari	とんだり	(I) sometimes fly and sometimes …	飛ぶ＋tari	飛んだり
よむ＋tari	よんだり	(I) sometimes read and sometimes …	読む＋tari	読んだり
とる＋tari	とったり	(I) sometimes take and sometimes …	取る＋tari	取ったり
かう＋tari	かったり	(I) sometimes buy and sometimes …	買う＋tari	買ったり
みる＋tari	みたり	(I) sometimes see and sometimes …	見る＋tari	見たり
たべる＋tari	たべたり	(I) sometimes eat and sometimes …	食べる＋tari	食べたり
くる＋tari	きたり	(I) sometimes come and sometimes …	来る＋tari	来たり
する＋tari	したり	(I) sometimes do and sometimes …	する＋tari	したり


base kana	conjugated kana	English	base	conjugated
いく＋masu	いきます	I go (polite)	行く＋masu	行きます
いきます＋negative	いきません	(I) don’t/didn’t go	行きます＋negative	行きません
いきます＋past	いきました	(I) went	行きます＋past	行きました
いきます＋volitional	いきましょう	(I) will go, let’s go	行きます＋volitional	行きましょう


base kana	conjugated kana	English	base	conjugated
かう＋nai	かわない	(I) don’t buy	買う＋nai	買わない
かわない＋    negative	かわなくはない	    it isn’t that (I) don’t buy	買わない＋    negative	買わなくはない
かわない＋    past	かわなかった	    (I) didn’t buy	買わない＋    past	買わなかった
かわない＋    conditional	かわなければ	    as long as (I) don’t buy, …	買わない＋    conditional	買わなければ
かわない＋    te	かわなくて	    (I’m) not buying and so …; because (I’m) not buying, …	買わない＋    te	買わなくて
かわない＋    tara	かわなかったら	    if/when (I) don’t buy, then …	買わない＋    tara	買わなかったら


base kana	conjugated kana	English	base	conjugated
たべる＋tai	たべたい	(I) want to eat	食べる＋tai	食べたい
たべたい＋negative	たべたくない	(I) don’t want to eat	食べたい＋negative	食べたくない
たべたい＋past	たべたかった	(I) wanted to eat	食べたい＋past	食べたかった
たべたい＋conditional	たべたければ	as long as (I) want to eat, …	食べたい＋conditional	食べたければ
たべたい＋te	たべたくて	(I) want to eat and thus …; because (I) want to eat, …	食べたい＋te	食べたくて
たべたい＋tara	たべたかったら	if (I) want to eat, then …	食べたい＋tara	食べたかったら


base kana	conjugated kana	English	base	conjugated
あそぶ＋tagaru	あそびたがる	(They) want to play	遊ぶ＋tagaru	遊びたがる
あそびたがる＋negative	あそびたがらない	(They) don’t want to play	遊びたがる＋negative	遊びたがらない
あそびたがる＋polite	あそびたがります	(They) wish to play (polite)	遊びたがる＋polite	遊びたがります
あそびたがる＋past	あそびたがった	(They) wanted to play	遊びたがる＋past	遊びたがった
あそびたがる＋te	あそびたがって	(They) want to play and thus …; because (they) want to play, …	遊びたがる＋te	遊びたがって
あそびたがる＋tara	あそびたがったら	if (they) want to play, then …	遊びたがる＋tara	遊びたがったら


base kana	conjugated kana	English	base	conjugated
みる＋hoshii	みてほしい	(I) want (them) to see	見る＋hoshii	見てほしい
みてほしい＋negative	みてほしくない	(I) don’t want (them) to see	見てほしい＋negative	見てほしくない
みてほしい＋past	みてほしかった	(I) wanted (them) to see	見てほしい＋past	見てほしかった
みてほしい＋conditional	みてほしければ	as long as (I) want (them) to see, …	見てほしい＋conditional	見てほしければ
みてほしい＋te	みてほしくて	(I) want (them) to see and thus …; because (I) want (them) to see, …	見てほしい＋te	見てほしくて
みてほしい＋tara	みてほしかったら	if (I) want (them) to see, then …	見てほしい＋tara	見てほしかったら


base kana	conjugated kana	English	base	conjugated
よむ＋seru	よませる	(I) make/let (them) read	読む＋seru	読ませる
よませる＋negative	よませない	(I) don’t make/let (them) read	読ませる＋negative	読ませない
よませる＋polite	よませます	(I) make/let (them) read (polite)	読ませる＋polite	読ませます
よませる＋past	よませた	(I) made/let (them) read	読ませる＋past	読ませた
よませる＋conditional	よませれば	as long as (I) made/let (them) read, …	読ませる＋conditional	読ませれば
よませる＋imperative	よませろ	Make/let (them) read!	読ませる＋imperative	読ませろ
よませる＋volitional	よませよう	(I) will make/let (them) read	読ませる＋volitional	読ませよう
よませる＋te	よませて	(I) make (them) read and thus …; because (I) make (them) read, …	読ませる＋te	読ませて


base kana	conjugated kana	English	base	conjugated
よむ＋seru (short)	よます	(I) make/let (them) read	読む＋seru (short)	読ます
よます＋negative	よまさない	(I) don’t make/let (them) read	読ます＋negative	読まさない
よます＋polite	よまします	(I) make/let (them) read (polite)	読ます＋polite	読まします
よます＋past	よました	(I) made/let (them) read	読ます＋past	読ました


base kana	conjugated kana	English	base	conjugated
たべる＋saseru	たべさせる	(I) make/let (them) eat	食べる＋saseru	食べさせる
たべさせる＋negative	たべさせない	(I) don’t make/let (them) eat	食べさせる＋negative	食べさせない
たべさせる＋polite	たべさせます	(I) make/let (them) eat (polite)	食べさせる＋polite	食べさせます
たべさせる＋past	たべさせた	(I) made/let (them) eat	食べさせる＋past	食べさせた
たべさせる＋conditional	たべさせれば	as long as (I) made/let (them) eat, …	食べさせる＋conditional	食べさせれば
たべさせる＋imperative	たべさせろ	Make/let (them) eat!	食べさせる＋imperative	食べさせろ
たべさせる＋volitional	たべさせよう	(I) will make/let (them) eat	食べさせる＋volitional	食べさせよう
たべさせる＋te	たべさせて	(I) make (them) eat and thus …; because (I) make (them) eat, …	食べさせる＋te	食べさせて


base kana	conjugated kana	English	base	conjugated
かく＋reru	かかれる	(it) is written; (I) can or am able to write	書く＋reru	書かれる
かかれる＋negative	かかれない	(it) isn’t written; (I) cannot or am unable to write	書かれる＋negative	書かれない
かかれる＋polite	かかれます	(it) is written (polite); (I) am able to write (polite)	書かれる＋polite	書かれます
かかれる＋past	かかれた	(it) was written; (I) was able to write	書かれる＋past	書かれた
かかれる＋te	かかれて	(it) is written and thus …; (I) am able to write and thus …	書かれる＋te	書かれて


base kana	conjugated kana	English	base	conjugated
みる＋rareru	みられる	(it) is seen; (I) can, or am able to, see	見る＋rareru	見られる
みられる＋negative	みられない	(it) isn’t seen; (I) cannot, or am not able to, see	見られる＋negative	見られない
みられる＋polite	みられます	(it) is seen (polite); (I) can, or am able to, see (polite)	見られる＋polite	見られます
みられる＋past	みられた	(it) was seen; (I) was able to see	見られる＋past	見られた
みられる＋te	みられて	(it) is seen and thus …; (I) am able to see and thus …	見られる＋te	見られて


base kana	conjugated kana	English	base	conjugated
かく＋seru+reru	かかせられる	(I) am made to write	書く＋seru+reru	書かせられる
かかせられる＋negative	かかせられない	(I) am not made to write	書かせられる＋negative	書かせられない
かかせられる＋polite	かかせられます	(I) am made to write (polite)	書かせられる＋polite	書かせられます
かかせられる＋past	かかせられた	(I) was made to write	書かせられる＋past	書かせられた
かかせられる＋te	かかせられて	(I) am made to write and thus …; because (I) am made to write, …	書かせられる＋te	書かせられて


base kana	conjugated kana	English	base	conjugated
かく＋seru+reru (short)	かかされる	(I) am made to write	書く＋seru+reru (short)	書かされる
かかされる＋negative	かかされない	(I) am not made to write	書かされる＋negative	書かされない
かかされる＋polite	かかされます	(I) am made to write (polite)	書かされる＋polite	書かされます
かかされる＋past	かかされた	(I) was made to write	書かされる＋past	書かされた
かかされる＋te	かかされて	(I) am made to write and thus …; because (I) am made to write, …	書かされる＋te	書かされて


